Periodo_numero,Código institución_numero,Nombre institución_numero,Tipo institución I_numero,Tipo institución II_numero,Tipo institución III_numero,Total Mujeres_numero,Total Hombres_numero,Total General_numero,Promedio Edad Mujeres,Promedio Edad Hombres,Promedio Edad por institución,Menos de 35_numero,Entre 35 y 44_numero,Entre 45 y 54_numero,Entre 55 64,Entre 65 y mas_numero,Sin información_numero,N° acádemicos por rango de edad - Mujeres,Menos de 35_numero,Entre 35 y 44_numero,Entre 45 y 54_numero,Entre 55 y 64_numero,Entre 65 y más,Sin información_numero,N° académicos por rango de edad - Hombres,En 1 institución_numero,En 2 instituciones_numero,En 3 o más instituciones,Doctor_numero,Magister_numero,Especialidad médica u odontológica,Título Profesional_numero,Licenciatura_numero,Técnico de Nivel Superior_numero,Técnico de Nivel Medio_numero,Licencia de Enseñanza Media_numero,Sin Título ni grado académico,Sin información_numero,N° de académicos por nivel de formación,Región de Arica y Parinacota_numero,Región de Tarapacá,Región de Antofagasta_numero,Región de Atacáma,Región de Coquimbo_numero,Región de Valparaíso_numero,Región Metropolitana_numero,Región de O'Higgins_numero,Región del Maule_numero,Región del Ñuble_numero,Región del Bíobío,Región de la Araucanía_numero,Región de los Ríos_numero,Región de los Lagos_numero,Región de Aysén_numero,Región de Magallanes y la Antártica,Sin información_numero,Chileno_numero,Extranjero_numero,Promedio general de la institución,Promedio de la institución Mujeres ,Promedio de la institución Hombres,Menos de 11_numero,Entre 11 y menos de 23_numero,Entre 23 y menos de 39_numero,Entre 39 y más_numero,Sin información_numero,anho_numero,id,Periodo_jce,Código institución_jce,Nombre institución_jce,Tipo institución I_jce,Tipo institución II_jce,Tipo institución III_jce,Total Mujeres_jce,Total Hombres_jce,Total General_jce,Promedio de Edad Mujer,Promedio de Edad Hombre,Promedio de Edad por Institución,Menos de 35_jce,Entre 35 y 44_jce,Entre 45 y 54_jce,Entre 55 y 64_jce,Entre 65 y mas_jce,Sin información_jce,N° JCE por rango edad mujer,Menos de 35_jce,Entre 35 y 44_jce,Entre 45 y 54_jce,Entre 55 y 64_jce,Entre 65 y mas_jce,Sin información_jce,N° JCE por rango edad hombre,En 1 institución_jce,En 2 instituciones_jce,En 3 o mas instituciones,Doctor_jce,Magister_jce,Esp. Med./Odontológica,Título Profesional_jce,Licenciatura_jce,Técnico de Nivel Superior_jce,Técnico de Nivel Medio_jce,Licencia de Enseñanza Media_jce,Sin Título ni Grado,Sin información_jce,N° de JCE por nivel de formación,Región de Arica y Parinacota_jce,Región  de Tarapacá,Región de Antofagasta_jce,Región de Atacama,Región de Coquimbo_jce,Región de Valparaíso_jce,Región Metropolitana_jce,Región de O'Higgins_jce,Región del Maule_jce,Región del Ñuble_jce,Región del Biobío,Región de la Araucanía_jce,Región de los Ríos_jce,Región de los Lagos_jce,Región de Aysén_jce,Región de Magallanes y la Artártica,Sin información_jce,Chileno_jce,Extranjero_jce,Menos de 11_jce,Entre 11 y menos de 23_jce,Entre 23 y menos de 39_jce,Entre 39 y más_jce,anho_jce,Año,Corr,RK,Institution,int_rec,universidad,cod_inst,*Level*,*Sector*,*Country*,*World Region*,*Region*,*Output*,*Excellence with Leadership*,*Normalized Impact*,*Normalized Impact Leadership*,*Scientific Talent Pool*,*Scientific Leadership*,*International Collaboration*,*High Quality Publications*,*Excellence*,*Innovative Knowledge*,*Technological Impact*,*Patents*,*Open Access*,*Not Own Journals*,*Own Journals*,*PlumX*,*Mendeley*
PAC_2023,19,UNIVERSIDAD DE LAS AMERICAS,Universidades,Universidades Privadas,Universidades Privadas,1276,1297,2573,43,44,43,248,560,308,112,48,,1276,216,530,334,162,55,,1297,1516,717,340,361,1780,,411,21,,,,,,2573,,,,,,351,1840,,,,382,,,,,,,2469,104,"18,9","20,9","16,9",1310,393,184,686,,2023,2023-19,PAC_2023,19,UNIVERSIDAD DE LAS AMERICAS,Universidades,Universidades Privadas,Universidades Privadas,"607,3","498,7","1.106,0","43,2","43,7","43,5","96,5","275,8","162,6","51,6","20,8",,"607,3","75,0","224,6","125,4","57,9","15,8",,"498,7","773,1","244,3","88,6","195,0","766,9",,"136,5","7,5",,,,,,"1.106,0",,,,,,"131,6","830,3",,,,"144,1",,,,,,,"1.058,7","47,2","158,7","137,0","106,3","703,9",2023,2023,938,938,"
Universidad de Las Americas",Universidad de Las Americas,1,19,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,504,10,"0,66","0,51",297,222,217,200,34,0,0,0,"70,44",504,0,249,421
PAC_2023,20,UNIVERSIDAD ANDRES BELLO,Universidades,Universidades Privadas,Universidades Privadas,2413,2699,5112,43,45,44,551,983,540,245,94,,2413,460,1019,699,349,172,,2699,3491,1192,429,868,2845,572,788,39,,,,,,5112,,,,,,1196,3116,,,,800,,,,,,,4855,257,"22,8","23,8","21,9",1988,1164,474,1486,,2023,2023-20,PAC_2023,20,UNIVERSIDAD ANDRES BELLO,Universidades,Universidades Privadas,Universidades Privadas,"1.305,7","1.344,0","2.649,7","43,1","45,7","44,4","271,1","526,5","310,7","143,7","53,7",,"1.305,7","179,6","517,9","383,8","185,9","76,8",,"1.344,0","2.005,8","485,2","158,8","601,6","1.421,2","190,4","417,3","19,2",,,,,,"2.649,7",,,,,,"573,5","1.696,6",,,,"379,6",,,,,,,"2.507,0","142,7","255,6","411,5","313,3","1.669,2",2023,2023,119,119,"
Universidad Andres Bello",Universidad Andres Bello,1,20,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,4797,164,"1,16","0,78",2269,1798,2960,2572,640,36,"0,81",15,"62,12",4782,1,2288,4225
PAC_2023,22,UNIVERSIDAD DE VIÑA DEL MAR,Universidades,Universidades Privadas,Universidades Privadas,564,459,1023,42,44,43,132,218,160,42,12,,564,95,169,107,54,34,,459,684,255,84,104,555,17,304,43,,,,,,1023,,,,,,1023,,,,,,,,,,,,993,30,"17,6","18,2","16,9",545,202,41,235,,2023,2023-22,PAC_2023,22,UNIVERSIDAD DE VIÑA DEL MAR,Universidades,Universidades Privadas,Universidades Privadas,"233,8","176,2","410,0","43,4","44,4","43,9","40,3","89,2","78,7","20,5","5,2",,"233,8","31,6","67,1","46,5","19,3","11,7",,"176,2","319,7","70,9","19,5","56,0","228,2","4,7","103,8","17,3",,,,,,"410,0",,,,,,"410,0",,,,,,,,,,,,"392,8","17,2","59,2","80,8","26,5","243,6",2023,2023,1605,1605,"
Universidad de Vina del Mar",Universidad de Vina del Mar,1,22,0,Higher educ.,CHL,Latin America,Valparaíso,186,2,"0,46","0,28",123,77,80,43,7,0,0,0,"77,96",186,0,45,145
PAC_2023,23,UNIVERSIDAD ADOLFO IBAÑEZ,Universidades,Universidades Privadas,Universidades Privadas,355,720,1075,42,45,44,78,139,103,30,5,,355,112,274,200,111,23,,720,855,172,48,415,472,,149,37,2,,,,,1075,,,,,,241,834,,,,,,,,,,,970,105,"23,9","22,0","24,8",336,267,84,388,,2023,2023-23,PAC_2023,23,UNIVERSIDAD ADOLFO IBAÑEZ,Universidades,Universidades Privadas,Universidades Privadas,"177,7","405,7","583,4","43,4","45,4","44,8","26,6","75,8","57,3","16,0","2,0",,"177,7","45,1","161,4","124,0","63,9","11,4",,"405,7","506,1","60,6","16,8","332,1","191,9",,"45,0","14,0","0,5",,,,,"583,4",,,,,,"138,0","445,4",,,,,,,,,,,"505,0","78,4","41,5","96,8","57,9","387,2",2023,2023,315,315,"
Universidad Adolfo Ibanez",Universidad Adolfo Ibanez,1,23,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,1910,100,"0,96","0,73",714,1029,1051,1039,262,7,"0,46",11,"56,81",1893,2,795,1618
PAC_2023,31,UNIVERSIDAD AUTONOMA DE CHILE,Universidades,Universidades Privadas,Universidades Privadas,1076,1190,2266,43,45,44,220,465,243,110,38,,1076,204,454,286,168,78,,1190,1545,525,196,455,1369,131,288,21,2,,,,,2266,,,,,,,1059,,518,,,689,,,,,,2106,160,"23,8","24,6","23,1",752,585,197,732,,2023,2023-31,PAC_2023,31,UNIVERSIDAD AUTONOMA DE CHILE,Universidades,Universidades Privadas,Universidades Privadas,"602,4","625,7","1.228,1","43,3","44,9","44,1","98,5","276,6","155,1","54,2","18,0",,"602,4","102,9","251,3","145,1","88,8","37,6",,"625,7","923,2","233,7","71,2","378,6","649,9","47,1","144,5","6,9","1,2",,,,,"1.228,1",,,,,,,"534,8",,"314,9",,,"378,5",,,,,,"1.121,2","106,9","102,4","229,5","125,4","770,8",2023,2023,189,189,"
Universidad Autonoma de Chile",Universidad Autonoma de Chile,1,31,0,Higher educ.,CHL,Latin America,La Araucanía,3031,116,"1,09","0,88",862,1048,2212,1661,417,17,"0,6",0,"61,33",3031,0,1752,2783
PAC_2023,34,UNIVERSIDAD DE LOS ANDES,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,691,757,1448,44,46,45,132,247,188,99,25,,691,105,274,196,111,71,,757,1236,165,47,296,549,298,282,20,2,,,,1,1448,,,,,,,1448,,,,,,,,,,,1361,87,"17,8","18,0","17,7",668,251,274,255,,2023,2023-34,PAC_2023,34,UNIVERSIDAD DE LOS ANDES,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,"281,9","304,4","586,3","45,8","47,2","46,5","37,1","101,7","85,6","45,3","12,2",,"281,9","29,1","113,2","89,1","46,1","27,0",,"304,4","535,8","41,3","9,3","217,1","192,5","98,5","73,3","4,5","0,5",,,,"0,1","586,3",,,,,,,"586,3",,,,,,,,,,,"538,3","48,0","60,5","87,4","187,0","251,4",2023,2023,353,353,"
Universidad de los Andes",Universidad de los Andes,1,34,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,1656,87,"1,04","0,76",1206,907,816,715,205,13,"0,92",9,"59,6",1656,0,547,1375
PAC_2023,38,UNIVERSIDAD ADVENTISTA DE CHILE,Universidades,Universidades Privadas,Universidades Privadas,180,168,348,41,44,42,59,60,41,17,3,,180,46,51,38,20,13,,168,291,41,16,45,164,,22,117,,,,,,348,,,,,,,,,,348,,,,,,,,329,19,"23,5","26,5","20,3",139,47,24,138,,2023,2023-38,PAC_2023,38,UNIVERSIDAD ADVENTISTA DE CHILE,Universidades,Universidades Privadas,Universidades Privadas,"108,4","77,6","186,0","39,4","45,0","41,7","37,9","38,7","21,6","9,0","1,2",,"108,4","21,1","19,3","17,3","11,4","8,5",,"77,6","164,7","16,3","5,0","23,8","85,5",,"10,1","66,7",,,,,,"186,0",,,,,,,,,,"186,0",,,,,,,,"178,0","8,0","15,7","17,2","16,2","137,0",2023,2023,1736,1736,"
Universidad Adventista de Chile",Universidad Adventista de Chile,1,38,0,Higher educ.,CHL,Latin America,Biobío,156,3,"0,61","0,43",93,47,79,37,10,1,"0,68",0,"74,36",156,0,39,135
PAC_2023,39,UNIVERSIDAD SAN SEBASTIAN,Universidades,Universidades Privadas,Universidades Privadas,2295,2204,4499,41,44,43,601,953,487,199,55,,2295,440,824,549,258,133,,2204,3301,880,318,497,2635,477,643,228,2,,17,,,4499,,,,,,,1972,10,,,1310,,452,755,,,,4342,157,"21,4","22,3","20,5",1812,945,534,1208,,2023,2023-39,PAC_2023,39,UNIVERSIDAD SAN SEBASTIAN,Universidades,Universidades Privadas,Universidades Privadas,"1.162,6","1.029,2","2.191,7","41,0","43,9","42,4","321,8","479,4","251,2","86,5","23,6",,"1.162,6","222,3","389,8","246,0","100,8","70,3",,"1.029,2","1.745,9","339,7","106,1","344,5","1.210,1","181,5","323,9","121,5","2,2",,"8,0",,,"2.191,7",,,,,,,"953,8","3,3",,,"661,2",,"226,9","346,6",,,,"2.102,1","89,6","207,3","333,9","356,3","1.294,2",2023,2023,393,393,"
Universidad San Sebastian",Universidad San Sebastian,1,39,0,Higher educ.,CHL,Latin America,Biobío,1442,43,"0,83","0,59",900,528,724,604,136,10,"0,73",5,"66,16",1442,0,588,1290
PAC_2023,42,UNIVERSIDAD CATOLICA CARDENAL RAUL SILVA HENRIQUEZ,Universidades,Universidades Privadas,Universidades Privadas,358,371,729,45,46,45,63,124,95,55,21,,358,72,129,85,48,37,,371,453,191,85,114,469,,124,19,1,,2,,,729,,,,,,,729,,,,,,,,,,,707,22,"18,5","18,7","18,2",306,243,30,150,,2023,2023-42,PAC_2023,42,UNIVERSIDAD CATOLICA CARDENAL RAUL SILVA HENRIQUEZ,Universidades,Universidades Privadas,Universidades Privadas,"152,4","153,4","305,8","46,8","46,3","46,5","17,2","54,5","45,1","27,2","8,3",,"152,4","21,5","62,1","33,6","21,7","14,5",,"153,4","208,8","74,7","22,3","83,9","179,2",,"36,8","5,4","0,3",,"0,2",,,"305,8",,,,,,,"305,8",,,,,,,,,,,"293,3","12,5","45,2","92,6","18,1","149,9",2023,2023,1437,1437,"
Universidad Catolica Cardenal Raul Silva Henriquez",Universidad Catolica Cardenal Raul Silva Henriquez,1,42,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,234,5,"0,64","0,51",152,109,101,46,12,0,0,0,"74,79",231,1,46,174
PAC_2023,45,UNIVERSIDAD DEL DESARROLLO,Universidades,Universidades Privadas,Universidades Privadas,1358,1394,2752,43,45,44,319,503,359,137,40,,1358,235,501,405,159,94,,1394,2171,430,151,336,1105,505,757,44,5,,,,,2752,,,,,,,2208,,,,544,,,,,,,2622,130,"15,8","16,9","14,8",1310,703,346,393,,2023,2023-45,PAC_2023,45,UNIVERSIDAD DEL DESARROLLO,Universidades,Universidades Privadas,Universidades Privadas,"521,8","468,7","990,5","44,2","46,1","45,1","86,0","195,8","164,3","58,0","17,6",,"521,8","59,3","163,5","156,3","56,6","33,1",,"468,7","849,1","110,6","30,8","205,0","395,3","182,4","193,3","12,5","1,9",,,,,"990,5",,,,,,,"818,3",,,,"172,1",,,,,,,"932,9","57,6","145,1","214,1","226,0","405,3",2023,2023,293,293,"
Universidad del Desarrollo",Universidad del Desarrollo,1,45,0,Higher educ.,CHL,Latin America,Metropolitana de Santiago,2017,79,"1,3","0,93",1383,917,1146,1060,276,20,"1,1",5,"64,3",2017,0,1011,1825
